1,201901081001,아메리카노,3000,3,010-9191-9191
1,201901081001,카페라떼,3200,3,010-9191-9191
1,201901081001,카페모카,3500,3,010-9191-9191
2,201901081002,스무디,4000,2,010-9191-9192
2,201901081002,치즈케잌,4500,2,010-9191-9192
3,201901081003,초코케잌,4500,1,010-9191-9193
4,201901081004,돈밥,4500,1,010-9191-9194
5,201901081005,헤이즐넛,3700,1,010-9191-9195
6,201901081006,카레,5000,1,010-9191-9196
7,201901081007,아메리카노,3000,3,010-9191-9197
7,201901081007,아메리카노,3000,3,010-9191-9197
7,201901081007,아메리카노,3000,3,010-9191-9197
1,201902081001,아메리카노,3000,3,010-9191-9191
1,201902081001,카페라떼,3200,3,010-9191-9191
1,201902081001,카페모카,3500,3,010-9191-9191
2,201902081002,스무디,4000,2,010-9191-9192
2,201902081002,치즈케잌,4500,2,010-9191-9192
3,201902081003,초코케잌,4500,1,010-9191-9193
4,201902081004,돈밥,4500,1,010-9191-9194
5,201902081005,헤이즐넛,3700,1,010-9191-9195
6,201902081006,카레,5000,1,010-9191-9196
7,201902081007,아메리카노,3000,3,010-9191-9197
7,201902081007,아메리카노,3000,3,010-9191-9197
7,201902081007,아메리카노,3000,3,010-9191-9197
1,201903081001,아메리카노,3000,3,010-9191-9191
1,201903081001,카페라떼,3200,3,010-9191-9191
1,201903081001,카페모카,3500,3,010-9191-9191
2,201903081002,스무디,4000,2,010-9191-9192
2,201903081002,치즈케잌,4500,2,010-9191-9192
3,201903081003,초코케잌,4500,1,010-9191-9193
4,201903081004,돈밥,4500,1,010-9191-9194
5,201903081005,헤이즐넛,3700,1,010-9191-9195
6,201903081006,카레,5000,1,010-9191-9196
7,201903081007,아메리카노,3000,3,010-9191-9197
7,201903081007,아메리카노,3000,3,010-9191-9197
7,201904081007,아메리카노,3000,3,010-9191-9197
1,201904081001,아메리카노,3000,3,010-9191-9191
1,201904081001,카페라떼,3200,3,010-9191-9191
1,201904081001,카페모카,3500,3,010-9191-9191
2,201904081002,스무디,4000,2,010-9191-9192
2,201904081002,치즈케잌,4500,2,010-9191-9192
3,201904081003,초코케잌,4500,1,010-9191-9193
4,201904081004,돈밥,4500,1,010-9191-9194
5,201904081005,헤이즐넛,3700,1,010-9191-9195
6,201904081006,카레,5000,1,010-9191-9196
7,201904081007,아메리카노,3000,3,010-9191-9197
7,201904081007,아메리카노,3000,3,010-9191-9197
7,201904081007,아메리카노,3000,3,010-9191-9197
1,201905081001,아메리카노,3000,3,010-9191-9191
1,201905081001,카페라떼,3200,3,010-9191-9191
1,201905081001,카페모카,3500,3,010-9191-9191
2,201905081002,스무디,4000,2,010-9191-9192
2,201905081002,치즈케잌,4500,2,010-9191-9192
3,201905081003,초코케잌,4500,1,010-9191-9193
4,201905081004,돈밥,4500,1,010-9191-9194
5,201905081005,헤이즐넛,3700,1,010-9191-9195
6,201905081006,카레,5000,1,010-9191-9196
7,201905081007,아메리카노,3000,3,010-9191-9197
7,201905081007,아메리카노,3000,3,010-9191-9197
7,201905081007,아메리카노,3000,3,010-9191-9197
1,201906081001,아메리카노,3000,3,010-9191-9191
1,201906081001,카페라떼,3200,3,010-9191-9191
1,201906081001,카페모카,3500,3,010-9191-9191
2,201906081002,스무디,4000,2,010-9191-9192
2,201906081002,치즈케잌,4500,2,010-9191-9192
3,201906081003,초코케잌,4500,1,010-9191-9193
4,201906081004,돈밥,4500,1,010-9191-9194
5,201906081005,헤이즐넛,3700,1,010-9191-9195
6,201906081006,카레,5000,1,010-9191-9196
7,201906081007,아메리카노,3000,3,010-9191-9197
7,201906081007,아메리카노,3000,3,010-9191-9197
7,201906081007,아메리카노,3000,3,010-9191-9197
1,201907081001,아메리카노,3000,3,010-9191-9191
1,201907081001,카페라떼,3200,3,010-9191-9191
1,201907081001,카페모카,3500,3,010-9191-9191
2,201907081002,스무디,4000,2,010-9191-9192
2,201907081002,치즈케잌,4500,2,010-9191-9192
3,201907081003,초코케잌,4500,1,010-9191-9193
4,201907081004,돈밥,4500,1,010-9191-9194
5,201907081005,헤이즐넛,3700,1,010-9191-9195
6,201907081006,카레,5000,1,010-9191-9196
7,201907081007,아메리카노,3000,3,010-9191-9197
7,201907081007,아메리카노,3000,3,010-9191-9197
7,201907081007,아메리카노,3000,3,010-9191-9197
1,201908081001,아메리카노,3000,3,010-9191-9191
1,201908081001,카페라떼,3200,3,010-9191-9191
1,201908081001,카페모카,3500,3,010-9191-9191
2,201908081002,스무디,4000,2,010-9191-9192
2,201908081002,치즈케잌,4500,2,010-9191-9192
3,201908081003,초코케잌,4500,1,010-9191-9193
4,201908081004,돈밥,4500,1,010-9191-9194
5,201908081005,헤이즐넛,3700,1,010-9191-9195
6,201908081006,카레,5000,1,010-9191-9196
7,201908081007,아메리카노,3000,3,010-9191-9197
7,201908081007,아메리카노,3000,3,010-9191-9197
7,201908081007,아메리카노,3000,3,010-9191-9197
1,201909081001,아메리카노,3000,3,010-9191-9191
1,201909081001,카페라떼,3200,3,010-9191-9191
1,201909081001,카페모카,3500,3,010-9191-9191
2,201909081002,스무디,4000,2,010-9191-9192
2,201909081002,치즈케잌,4500,2,010-9191-9192
3,201909081003,초코케잌,4500,1,010-9191-9193
4,201909081004,돈밥,4500,1,010-9191-9194
5,201909081005,헤이즐넛,3700,1,010-9191-9195
6,201909081006,카레,5000,1,010-9191-9196
7,201909081007,아메리카노,3000,3,010-9191-9197
7,201909081007,아메리카노,3000,3,010-9191-9197
7,201909081007,아메리카노,3000,3,010-9191-9197
1,201910081001,아메리카노,3000,3,010-9191-9191
1,201910081001,카페라떼,3200,3,010-9191-9191
1,201910081001,카페모카,3500,3,010-9191-9191
2,201910081002,스무디,4000,2,010-9191-9192
2,201910081002,치즈케잌,4500,2,010-9191-9192
3,201910081003,초코케잌,4500,1,010-9191-9193
4,201910081004,돈밥,4500,1,010-9191-9194
5,201910081005,헤이즐넛,3700,1,010-9191-9195
6,201910081006,카레,5000,1,010-9191-9196
7,201910081007,아메리카노,3000,3,010-9191-9197
7,201910081007,아메리카노,3000,3,010-9191-9197
7,201910081007,아메리카노,3000,3,010-9191-9197
1,201911081001,아메리카노,3000,3,010-9191-9191
1,201911081001,카페라떼,3200,3,010-9191-9191
1,201911081001,카페모카,3500,3,010-9191-9191
2,201911081002,스무디,4000,2,010-9191-9192
2,201911081002,치즈케잌,4500,2,010-9191-9192
3,201911081003,초코케잌,4500,1,010-9191-9193
4,201911081004,돈밥,4500,1,010-9191-9194
5,201911081005,헤이즐넛,3700,1,010-9191-9195
6,201911081006,카레,5000,1,010-9191-9196
7,201911081007,아메리카노,3000,3,010-9191-9197
7,201911081007,아메리카노,3000,3,010-9191-9197
7,201911081007,아메리카노,3000,3,010-9191-9197
1,201912081001,아메리카노,3000,3,010-9191-9191
1,201912081001,카페라떼,3200,3,010-9191-9191
1,201912081001,카페모카,3500,3,010-9191-9191
2,201912081002,스무디,4000,2,010-9191-9192
2,201912081002,치즈케잌,4500,2,010-9191-9192
3,201912081003,초코케잌,4500,1,010-9191-9193
4,201912081004,돈밥,4500,1,010-9191-9194
5,201912081005,헤이즐넛,3700,1,010-9191-9195
6,201912081006,카레,5000,1,010-9191-9196
7,201912081007,아메리카노,3000,3,010-9191-9197
7,201912081007,아메리카노,3000,3,010-9191-9197
7,201912081007,아메리카노,3000,3,010-9191-9197
